,Left Hand Side,Right Hand Side
0,"('light cream',)","('chicken',)"
1,"('mushroom cream sauce',)","('escalope',)"
2,"('pasta',)","('escalope',)"
3,"('fromage blanc',)","('honey',)"
4,"('herb & pepper',)","('ground beef',)"
5,"('tomato sauce',)","('ground beef',)"
6,"('light cream',)","('olive oil',)"
7,"('whole wheat pasta',)","('olive oil',)"
8,"('pasta',)","('shrimp',)"
9,"('avocado', 'spaghetti')","('milk',)"
10,"('cake', 'milk')","('burgers',)"
11,"('turkey', 'chocolate')","('burgers',)"
12,"('turkey', 'milk')","('burgers',)"
13,"('cake', 'frozen vegetables')","('tomatoes',)"
14,"('ground beef', 'cereals')","('spaghetti',)"
15,"('ground beef', 'chicken')","('milk',)"
16,"('chicken', 'milk')","('olive oil',)"
17,"('spaghetti', 'chicken')","('olive oil',)"
18,"('chocolate', 'frozen vegetables')","('shrimp',)"
19,"('chocolate', 'herb & pepper')","('ground beef',)"
20,"('chocolate', 'soup')","('milk',)"
21,"('ground beef', 'cooking oil')","('spaghetti',)"
22,"('ground beef', 'eggs')","('herb & pepper',)"
23,"('red wine', 'eggs')","('spaghetti',)"
24,"('ground beef', 'french fries')","('herb & pepper',)"
25,"('green tea', 'frozen vegetables')","('tomatoes',)"
26,"('spaghetti', 'frozen vegetables')","('ground beef',)"
27,"('milk', 'frozen vegetables')","('olive oil',)"
28,"('soup', 'frozen vegetables')","('milk',)"
29,"('milk', 'tomatoes')","('frozen vegetables',)"
30,"('shrimp', 'mineral water')","('frozen vegetables',)"
31,"('spaghetti', 'frozen vegetables')","('olive oil',)"
32,"('spaghetti', 'frozen vegetables')","('shrimp',)"
33,"('shrimp', 'frozen vegetables')","('tomatoes',)"
34,"('spaghetti', 'frozen vegetables')","('tomatoes',)"
35,"('spaghetti', 'grated cheese')","('ground beef',)"
36,"('ground beef', 'green tea')","('tomatoes',)"
37,"('milk', 'herb & pepper')","('ground beef',)"
38,"('mineral water', 'herb & pepper')","('ground beef',)"
39,"('spaghetti', 'herb & pepper')","('ground beef',)"
40,"('ground beef', 'milk')","('olive oil',)"
41,"('ground beef', 'soup')","('milk',)"
42,"('spaghetti', 'pepper')","('ground beef',)"
43,"('ground beef', 'shrimp')","('spaghetti',)"
44,"('tomato sauce',)","('ground beef', 'spaghetti')"
45,"('light cream',)","('spaghetti', 'mineral water')"
46,"('shrimp', 'olive oil')","('milk',)"
47,"('milk', 'olive oil')","('soup',)"
48,"('spaghetti', 'milk')","('olive oil',)"
49,"('milk', 'tomatoes')","('soup',)"
50,"('whole wheat pasta', 'spaghetti')","('milk',)"
51,"('soup', 'mineral water')","('olive oil',)"
52,"('whole wheat pasta', 'mineral water')","('olive oil',)"
53,"('spaghetti', 'pancakes')","('olive oil',)"
54,"('olive oil', 'tomatoes')","('spaghetti',)"
55,"('spaghetti', 'whole wheat rice')","('tomatoes',)"
56,"('ground beef', 'eggs')","('chocolate', 'mineral water')"
57,"('chocolate', 'frozen vegetables', 'mineral water')","('ground beef',)"
58,"('ground beef', 'chocolate', 'frozen vegetables')","('spaghetti',)"
59,"('chocolate', 'frozen vegetables', 'mineral water')","('milk',)"
60,"('spaghetti', 'chocolate', 'frozen vegetables')","('milk',)"
61,"('chocolate', 'frozen vegetables', 'mineral water')","('shrimp',)"
62,"('chocolate', 'olive oil')","('spaghetti', 'mineral water')"
63,"('spaghetti', 'chocolate', 'mineral water')","('shrimp',)"
64,"('eggs', 'frozen vegetables', 'mineral water')","('milk',)"
65,"('milk', 'frozen smoothie')","('spaghetti', 'mineral water')"
66,"('ground beef', 'frozen vegetables')","('milk', 'mineral water')"
67,"('ground beef', 'milk', 'frozen vegetables')","('spaghetti',)"
68,"('ground beef', 'frozen vegetables')","('spaghetti', 'mineral water')"
69,"('olive oil', 'frozen vegetables')","('milk', 'mineral water')"
70,"('soup', 'frozen vegetables')","('milk', 'mineral water')"
71,"('spaghetti', 'milk', 'mineral water')","('frozen vegetables',)"
72,"('shrimp', 'frozen vegetables')","('spaghetti', 'mineral water')"
73,"('spaghetti', 'frozen vegetables', 'mineral water')","('tomatoes',)"
74,"('ground beef', 'milk')","('spaghetti', 'mineral water')"
75,"('ground beef', 'olive oil')","('spaghetti', 'mineral water')"
76,"('ground beef', 'pancakes')","('spaghetti', 'mineral water')"
77,"('ground beef', 'tomatoes')","('spaghetti', 'mineral water')"
78,"('spaghetti', 'milk', 'mineral water')","('olive oil',)"
79,"('milk', 'tomatoes')","('spaghetti', 'mineral water')"
